"file","sheet","row","section","description","qty","unitPrice","total","totalFormula","qtyFormula","unitPriceFormula","isSectionOrHeader"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","23","Labour Rates - Daily Rates","Sunday and Bank Holiday Work charged at Double Time","","585.00","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","24","Labour Rates - Daily Rates","Turnaround Day After Night Work Chargeable from 23:59","","585.00","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","25","Labour Rates - Daily Rates","Supplementary charge for Late Working between 22:00 & 23:59","","292.50","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","26","Labour Rates - Daily Rates","Supplementary charge applies for Saturday working","","292.50","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","27","Labour Rates - Daily Rates","Commercials - Sundays, Night Work charged at 2T /  Saturday Charged 1.5T - APA","","585.00","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","28","Labour Rates - Daily Rates","Recce Charge per man","","585.00","-","=E28*F28","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","30","Travel Charges","Travel Charges","","","","","","","True"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","31","Travel Charges","Tracking Vehicle Mileage (Miles) Subject to Tracking Mileage","95","1.55","147.25","=E31*F31","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","32","Travel Charges","Tracking Vehicle and Crew Travel Days","","585.00","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","33","Travel Charges","Tracking Vehicle and Crew Travel Time","","58.50","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","34","Travel Charges","London and Home Counties Fixed Travel Charge","","185.00","-","=E34*F34","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","35","Travel Charges","Hotel & Overnight charge if Tracking Vehicle is pre-rigged & left rigged between shoot days","","150.00","TBC","","","","True"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","36","Travel Charges","London Congestion-ULEZ Charge per vehicle","1","30.00","30.00","=E36*F36","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","37","Travel Charges","Travel Meal Allowance per man per day","","22.00","TBC","","","","True"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","38","Travel Charges","Hotel Per Man Per Room","","TBC","Production","","","","True"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","39","Travel Charges","Overnight Meal Allowance per man per night","","35.00","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","40","Travel Charges","Breakfast/Lunch not Supplied on location per man","","22.00","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","41","Travel Charges","Recce Travel Time/Travel Day (When recce is outside the London area)","","58.50","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","42","Travel Charges","Recce Mileage  (Inc On Location Recce Mileage, Location to Location Moves)","","0.68","TBC","","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","44","Travel Charges","","Total Price  £","","2,517.25","=SUM(G12:G43)-2*G18","","","False"
"Low Loader No.1 London - 2026.xls","Bickers Action Quote","45","Travel Charges","","Excludes VAT","","","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","10","Artic Low Loader No.1 OR No.2 Elite Tracking Trailer","DESCRIPTION","QTY","UNIT PRICE","TOTAL","","","","True"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","12","Equipment - Daily Rates (Optional Equipment Charged if Used or Booked)","Equipment - Daily Rates (Optional Equipment Charged if Used or Booked)","","","","","","","True"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","13","Equipment - Daily Rates (Optional Equipment Charged if Used or Booked)","Artic Low Loader No1 OR No.2 Elite Tracking Trailer","","1,075.00","-","=E13*F13","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","14","Equipment - Daily Rates (Optional Equipment Charged if Used or Booked)","8K Generator (Built in Generator) - Charged if used","","180.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","15","Equipment - Daily Rates (Optional Equipment Charged if Used or Booked)","Basic Riggers Scaffolding  Kit  (18 Tubes and Fittings)","","95.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","16","Equipment - Daily Rates (Optional Equipment Charged if Used or Booked)","Pre Rigging and Prep Work","","95.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","18","Equipment - Daily Rates (Optional Equipment Charged if Used or Booked)","Discount","Less","","-","=SUM(G13:G17)*F18","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","20","Labour Rates - Daily Rates","Labour Rates - Daily Rates","","","","","","","True"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","21","Labour Rates - Daily Rates","To Services of Driver/Technician per 10hr Cont. Day  (Call to Wrap)","","585.00","-","=E21*F21","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","22","Labour Rates - Daily Rates","Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00)","","87.75","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","23","Labour Rates - Daily Rates","Turnaround Day After Night Work Chargeable from 23:59","","585.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","24","Labour Rates - Daily Rates","Sunday and Bank Holiday Work charged at Double Time","","585.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","25","Labour Rates - Daily Rates","Supplementary charge for Late Working between 22:00 & 23:59","","292.50","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","26","Labour Rates - Daily Rates","Supplementary charge applies for Saturday working","","292.50","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","27","Labour Rates - Daily Rates","Commercials - Sundays, Night Work charged at 2T /  Saturday Charged 1.5T - APA","","585.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","28","Labour Rates - Daily Rates","Recce Charge per man","","585.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","30","Travel Charges","Travel Charges","","","","","","","True"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","31","Travel Charges","Tracking Vehicle Mileage (Miles) Subject to Tracking Mileage","","1.55","-","=E31*F31","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","32","Travel Charges","Tracking Vehicle and Crew Travel Days","","585.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","33","Travel Charges","Tracking Vehicle and Crew Travel Time","","58.50","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","34","Travel Charges","London and Home Counties Fixed Travel Charge","","185.00","-","=E34*F34","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","35","Travel Charges","Hotel and Per Diem charged if Tracking Vehicle is pre rigged or left rigged between Shoot Days","","150.00","TBC","","","","True"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","36","Travel Charges","London Congestion-ULEZ Charge per vehicle","","30.00","-","=E36*F36","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","37","Travel Charges","Clean air zone charge where applicable","","TBC","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","38","Travel Charges","Travel Meal Allowance per man per day","","22.00","TBC","","","","True"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","39","Travel Charges","Hotel Per Man Per Room","TBC","","Production","","","","True"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","40","Travel Charges","Overnight Meal Allowance per man per night","","35.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","41","Travel Charges","Breakfast/Lunch not Supplied on location per man","","22.00","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","42","Travel Charges","Recce Travel Time/Travel Day (When recce is outside the London area)","","58.50","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","43","Travel Charges","Recce Mileage","","0.68","TBC","","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","45","Travel Charges","","Total Price  £","","-","=SUM(G12:G44)-2*G18","","","False"
"Low Loader No.1 OR No.2 - 2026.xls","Bickers Action Quote","46","Travel Charges","","Excludes VAT","","","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","10","Pod Car  / Top Driver Car","DESCRIPTION","QTY","UNIT PRICE","TOTAL","","","","True"
"Pod Car Hire 2026.xls","Bickers Action Quote","12","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","","","","True"
"Pod Car Hire 2026.xls","Bickers Action Quote","13","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Hire of Existing Pod Car Rig per day (White Insignia, Audi Q3, Landrover Discovery)","","1,100.00","-","=E13*F13","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","14","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Pre-Rigging, Prep and loading","","","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","15","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment Discount","Less","0.0%","0.00","=SUM(G13:G14)*F15","","","True"
"Pod Car Hire 2026.xls","Bickers Action Quote","17","Labour Rates - Daily Rates - 2 man Crew TBC","Labour Rates - Daily Rates - 2 man Crew TBC","","","","","","","True"
"Pod Car Hire 2026.xls","Bickers Action Quote","18","Labour Rates - Daily Rates - 2 man Crew TBC","Precision Pod Car Driver  per 10hr Cont. Day - Below Terms Apply to this Drivers rate","","790.00","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","19","Labour Rates - Daily Rates - 2 man Crew TBC","To Services of Technician per 10hr Cont. Day (call to Wrap)","","585.00","-","=E19*F19","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","20","Labour Rates - Daily Rates - 2 man Crew TBC","Overtime Charged @ 1.5T  (Inc. Pre-Calls & Call Times Prior to 07:00)","","87.75","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","21","Labour Rates - Daily Rates - 2 man Crew TBC","Sunday and Bank Holiday Work charged at Double Time","","585.00","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","22","Labour Rates - Daily Rates - 2 man Crew TBC","Turnaround Day After Night Work Chargeable from 23:59","","585.00","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","23","Labour Rates - Daily Rates - 2 man Crew TBC","Supplementary charge for Late Working between 22:00 & 23:59","","292.50","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","24","Labour Rates - Daily Rates - 2 man Crew TBC","Supplementary charge applies for Saturday working","","292.50","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","25","Labour Rates - Daily Rates - 2 man Crew TBC","Commercials - Sundays, Night Work charged at 2T /  Saturday Charged 1.5T - APA","","585.00","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","26","Labour Rates - Daily Rates - 2 man Crew TBC","Recce Charge per man","","585.00","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","28","Travel Charges","Travel Charges","","","","","","","True"
"Pod Car Hire 2026.xls","Bickers Action Quote","29","Travel Charges","Transport Vehicle with Basic Hand Tools for Mechanical Back up","","185.00","-","=E29*F29","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","30","Travel Charges","Tracking Vehicle Mileage (Miles) Subject to Tracking Mileage","","1.55","-","=E30*F30","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","31","Travel Charges","Tracking Vehicle and Crew Travel Days","","585.00","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","32","Travel Charges","Tracking Vehicle and Crew Travel Time","","58.50","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","33","Travel Charges","London and Home Counties Fixed Travel Charge","","185.00","-","=E33*F33","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","34","Travel Charges","London Congestion Charge-ULEZ per vehicle","","30.00","-","=E34*F34","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","35","Travel Charges","Clean air zone charge where applicable","","TBC","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","36","Travel Charges","Travel Meal Allowance per man per day","","22.00","TBC","","","","True"
"Pod Car Hire 2026.xls","Bickers Action Quote","37","Travel Charges","Hotel Per Man Per Room","","TBC","Production","","","","True"
"Pod Car Hire 2026.xls","Bickers Action Quote","38","Travel Charges","Overnight Meal Allowance","","35.00","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","39","Travel Charges","Breakfast/Lunch not Supplied on location per man","","22.00","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","40","Travel Charges","Recce Travel Time/Travel Day (When recce is outside the London area","","58.50","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","41","Travel Charges","Recce Mileage","","0.68","TBC","","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","43","Travel Charges","","Total Price   £","","-","=SUM(G13:G42)-2*G15","","","False"
"Pod Car Hire 2026.xls","Bickers Action Quote","44","Travel Charges","","Excludes VAT","","","","","","False"
"Pod Car Build 2026.xls","Bickers Action Quote","10","Pod Car  Build","DESCRIPTION","QTY","UNIT PRICE","TOTAL","","","","True"
"Pod Car Build 2026.xls","Bickers Action Quote","12","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","","","","True"
"Pod Car Build 2026.xls","Bickers Action Quote","14","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Bespoke POD Car  / Top Driver Build - Estimate - Including Pod Equipment Hire","","11,000.00","","","","","False"
"Pod Car Build 2026.xls","Bickers Action Quote","15","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Pre-Rigging, Prep and loading","","","TBC","","","","False"
